LA Code,District,LSOA,LSOA Name,Total Area of All Land Types,Area of Domestic Buildings,Area of Non Domestic Buildings,Area of Road,Area of Path,Area of Rail,Area of Domestic Gardens,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Area of Admin Geography,Quality of Fit Indicator
00CGGW,Fulwood,E01007865,Sheffield 038D,447.72,47.26,6.82,65.16,7.44,0,148.98,143.29,11.48,17.3,0,449.02,-0.29
00CGGW,Fulwood,E01007956,Sheffield 041B,29016.87,95.82,19.85,355.32,3.99,0,334.6,27371.37,709.86,126.04,0,29673.53,-2.21
00CGGW,Fulwood,E01007957,Sheffield 041C,385.9,44.59,1.36,49.61,0.8,0,205.52,75.94,0,8.08,0,376.57,2.48
00CGGW,Fulwood,E01007958,Sheffield 041D,647.72,53.14,10.3,72.3,4.55,0,261.81,209.53,8.34,27.76,0,645.73,0.31
00CGGW,Fulwood,E01007959,Sheffield 041E,498.17,43.62,2.15,50.24,1.77,0,221.33,171.66,1.88,5.52,0,495.79,0.48
00CGGX,Gleadless Valley,E01007975,Sheffield 051A,270.56,32.79,13.34,51.88,3.44,0,74.06,65.57,1.77,27.71,0,271.88,-0.49
00CGGX,Gleadless Valley,E01007978,Sheffield 053A,254.48,33.67,22.53,55.93,0.36,0,72.13,36.48,0.64,32.75,0,264.07,-3.63
00CGGX,Gleadless Valley,E01007979,Sheffield 051D,389.56,26.9,3.07,75.63,13.37,0,55.5,204.62,1.21,9.26,0,396.44,-1.73
00CGGX,Gleadless Valley,E01007980,Sheffield 053B,159.09,31.59,2.09,35.72,0.77,0,63.4,19.82,0,5.68,0,150.37,5.8
00CGGX,Gleadless Valley,E01007981,Sheffield 053C,512.96,33.73,32.64,62.32,11.67,46.31,66.45,176.98,4.18,78.68,0,486.69,5.4
00CGGX,Gleadless Valley,E01007983,Sheffield 053D,224.51,32.25,17.62,42.45,0.25,0,60.65,49.13,2.83,19.33,0,232.65,-3.5
00CGGX,Gleadless Valley,E01007984,Sheffield 064D,294.1,27.92,0.46,41.61,0.43,0,149.8,71.51,0.93,1.44,0,315.37,-6.74
00CGGX,Gleadless Valley,E01007985,Sheffield 053E,274.86,34.73,3.37,48.27,1.47,0,112.25,65.23,0.01,9.53,0,263.97,4.12
00CGGX,Gleadless Valley,E01008075,Sheffield 060B,366.4,27.76,1.51,47.41,8.99,0,70.64,204.63,1.12,4.34,0,392.19,-6.58
00CGGX,Gleadless Valley,E01008076,Sheffield 060C,198.08,29.31,0.47,34.24,9.12,0,75.2,47.45,0.62,1.66,0,202.59,-2.23
00CGGX,Gleadless Valley,E01008077,Sheffield 060D,217.52,30.69,2.65,53.05,3.6,0,92.49,27.51,0,7.52,0,222.65,-2.31
00CGGX,Gleadless Valley,E01008078,Sheffield 064E,927.93,44.27,12.83,116.97,7.22,0,175.25,534.92,5.76,30.71,0,864.42,7.35
00CGGY,Graves Park,E01007827,Sheffield 064A,1563.46,42.15,12.09,51.84,15.2,0,170,1233.88,1.96,36.33,0,1546.81,1.08
00CGGY,Graves Park,E01007828,Sheffield 059A,279.83,36.19,0.93,43.54,0.95,0,112.44,76.08,1.02,8.68,0,281.7,-0.67
00CGGY,Graves Park,E01007829,Sheffield 059B,441.65,39.57,33.58,64.53,0.07,18.61,96.78,111.91,6.44,70.17,0,440.55,0.25
00CGGY,Graves Park,E01007830,Sheffield 064B,286.41,35.37,6.31,43.32,2.72,0,142.85,44.22,0,11.64,0,286.82,-0.14
00CGGY,Graves Park,E01007831,Sheffield 059C,314.6,36.84,12,52.71,6.66,0,73.3,120.68,0.05,12.35,0,306.23,2.73
00CGGY,Graves Park,E01007832,Sheffield 059D,209.34,35.88,3.34,35.63,2.33,0,98.53,26.33,0,7.3,0,203.76,2.74
00CGGY,Graves Park,E01007986,Sheffield 059E,173.67,29.78,7.09,46.9,0,0,62.44,19.4,0,8.05,0,168.04,3.35
00CGGY,Graves Park,E01008079,Sheffield 064F,636.27,36.38,25.27,93.67,2.08,0,171.35,250.64,1.28,55.6,0,683.97,-6.97
00CGGZ,Hillsborough,E01007987,Sheffield 016A,182.6,34.61,1.5,32.41,0.03,0,85.26,23.02,0,5.77,0,174.23,4.8
00CGGZ,Hillsborough,E01007988,Sheffield 016B,308.12,38.82,5.35,53.71,1.39,0,145.89,51.92,0,11.05,0,317.61,-2.99
00CGGZ,Hillsborough,E01007989,Sheffield 016C,128,34.13,4.1,33.69,0.2,0,51.81,1.3,0,2.76,0,130.11,-1.62
00CGGZ,Hillsborough,E01007990,Sheffield 021A,317.58,36.07,2.06,42.28,1.48,0,144.29,83.68,0,7.71,0,320.21,-0.82
00CGGZ,Hillsborough,E01007991,Sheffield 016D,299.53,31.38,12.64,53.02,0.13,0,138.99,42.25,0,21.12,0,286.63,4.5
00CGGZ,Hillsborough,E01007992,Sheffield 021B,151.28,35.83,1.03,36.85,0.44,0,72.56,2.67,0,1.89,0,152.95,-1.09
00CGGZ,Hillsborough,E01007993,Sheffield 021C,262.89,33.23,1.25,55.27,0.33,0,142,24.9,0,5.92,0,271.36,-3.12
00CGGZ,Hillsborough,E01007994,Sheffield 021D,125.15,29.51,2.69,27.45,0.3,0,60.69,0.59,0,3.91,0,126.47,-1.04
00CGGZ,Hillsborough,E01007995,Sheffield 017A,136.09,34.67,7.93,32.43,0.04,0,54.71,0.81,0,5.49,0,136.59,-0.37
00CGGZ,Hillsborough,E01007996,Sheffield 021E,539.82,34.49,21.91,62.05,1.92,0,108.53,252.35,15.02,43.56,0,491.61,9.81
00CGGZ,Hillsborough,E01008089,Sheffield 017B,1461.63,67.07,116.1,118.7,6.55,32.61,65.65,801.68,36.41,216.87,0,1483.22,-1.46
00CGGZ,Hillsborough,E01008091,Sheffield 017C,498.06,34.65,105.99,85.84,1,3.4,56.14,86.62,11.28,113.14,0,508.09,-1.97
00CGGZ,Hillsborough,E01008093,Sheffield 017D,1506.46,40.12,154.93,122.74,4.32,0,42.56,856.85,49.62,235.32,0,1117.56,34.8
00CGHA,Manor Castle,E01007878,Sheffield 034A,249.99,31.27,1.65,39.17,5.2,0,83.62,77.51,0,11.58,0,252.33,-0.93
00CGHA,Manor Castle,E01007879,Sheffield 035A,322.13,40,16.89,62.28,5.76,0,97.02,82.33,0,17.86,0,319.3,0.89
00CGHA,Manor Castle,E01007880,Sheffield 035B,340.23,20.95,47.85,51.83,0.89,28.63,12.61,118.4,0.96,58.12,0,342.88,-0.77
00CGHA,Manor Castle,E01007882,Sheffield 035C,227.54,34.82,6.43,38.13,2.15,0,99.15,38.1,0,8.77,0,210.1,8.3
00CGHA,Manor Castle,E01007884,Sheffield 035D,554.77,28.23,73.14,168.14,10.18,16.37,18.75,144.75,11.55,83.66,0,568.42,-2.4
00CGHA,Manor Castle,E01007885,Sheffield 034C,701.82,25.85,65.28,120.03,5.47,59.55,82.3,247.8,4.99,90.54,0,674.09,4.11
00CGHA,Manor Castle,E01007886,Sheffield 034D,352.36,31.45,11.94,62.23,1.15,0,146.05,73.47,0.01,26.06,0,369.54,-4.65
00CGHA,Manor Castle,E01008011,Sheffield 039A,337.85,33.77,2.7,73.16,6.7,0,115.3,93.65,0,12.58,0,346.65,-2.54
00CGHA,Manor Castle,E01008012,Sheffield 039B,508.79,31.67,3.24,66.83,7.71,0,109.04,266.96,0,23.34,0,509.65,-0.17
00CGHA,Manor Castle,E01008013,Sheffield 039C,387.63,36.45,8.22,87.04,5.28,0,135.42,98.31,0,16.92,0,382.73,1.28
00CGHA,Manor Castle,E01008015,Sheffield 039D,787.92,37.33,69.35,137.58,11.67,0,137.44,305.22,0,89.33,0,788.67,-0.1
00CGHA,Manor Castle,E01008018,Sheffield 039F,387.52,33.14,1.56,85.67,6.34,0,114.67,143,0,3.15,0,396.5,-2.26
00CGHB,Mosborough,E01008019,Sheffield 065A,1015.43,41.63,65.08,96.21,18.71,21.44,105.15,575,4.37,87.86,0,1056.75,-3.91
00CGHB,Mosborough,E01008020,Sheffield 065B,202.18,32.4,0.34,36.87,2.16,0,107.36,17.62,0,5.44,0,206.75,-2.21
00CGHB,Mosborough,E01008021,Sheffield 067A,1397.47,46.65,3.98,58.7,3.13,0,189,1075.69,1.19,19.12,0,1354.92,3.14
00CGHB,Mosborough,E01008022,Sheffield 065C,200.82,30.41,3.91,37.88,16.94,0,49.71,48.76,0,13.21,0,194.04,3.49
00CGHB,Mosborough,E01008023,Sheffield 067B,613.72,44.75,7.99,79.49,7,0,165.02,282.95,0.01,26.52,0,636.51,-3.58
00CGHB,Mosborough,E01008024,Sheffield 067C,1087.47,43.56,10.09,64.49,7.24,0,181.25,752.51,0.02,28.31,0,1140.97,-4.69
00CGHB,Mosborough,E01008025,Sheffield 067D,2303.53,52.51,10.91,67.96,3.01,0,166.73,1940.34,4.05,58.01,0,2331.12,-1.18
00CGHB,Mosborough,E01008026,Sheffield 067E,341.27,46.42,2.42,54.61,6.92,0,153.39,70.49,0,7.02,0,352.76,-3.26
00CGHB,Mosborough,E01008027,Sheffield 065D,319.42,36.99,6.35,44.68,10.57,0,95.22,110.26,0,15.36,0,315.34,1.29
00CGHB,Mosborough,E01008037,Sheffield 065E,581.58,41.09,5.64,75.43,22.46,14.82,107.61,276.54,1.79,36.19,0,583.81,-0.38
00CGHC,Nether Edge,E01008042,Sheffield 050A,198.74,34.65,12.56,43.31,0.24,0,75.43,16.28,1.82,14.45,0,199.32,-0.29
00CGHC,Nether Edge,E01008043,Sheffield 046A,497.8,52.48,3.06,63.51,1.33,0,247.37,93.9,0,36.14,0,480.27,3.65
00CGHC,Nether Edge,E01008044,Sheffield 046B,384.43,44.86,3.21,58.43,1.22,0,214.95,54.76,0,7,0,380.49,1.04
00CGHC,Nether Edge,E01008045,Sheffield 050B,208.4,33.55,2.16,34.59,0.44,0,96.86,37.12,0,3.69,0,216.51,-3.75
00CGHC,Nether Edge,E01008046,Sheffield 050C,194.66,35.72,13.39,49.33,0.33,6.85,59.02,12.69,1.9,15.42,0,203.97,-4.56
00CGHC,Nether Edge,E01008047,Sheffield 046C,113.97,29.51,9.89,31.91,0.1,0,35.28,1.51,0,5.77,0,113.28,0.61
00CGHC,Nether Edge,E01008048,Sheffield 046D,267.36,37.03,18.56,44.7,0.41,0,112.46,30.05,0,24.15,0,268.94,-0.59
00CGHC,Nether Edge,E01008049,Sheffield 050D,418.27,46.47,21.66,66.4,3.22,0,169.78,68.93,5.8,36.02,0,420.48,-0.53
00CGHC,Nether Edge,E01008051,Sheffield 050E,175.41,37.33,2.28,40.4,0,0,87.93,5.5,0.04,1.94,0,167.85,4.5
00CGHC,Nether Edge,E01008052,Sheffield 050F,227.87,43.17,6.26,47.18,0.4,0,119.46,5.31,0.3,5.79,0,249.17,-8.55
00CGHD,Richmond,E01007963,Sheffield 045A,496.77,38.21,4.32,60.21,5.15,0,180.64,194.92,0.2,13.12,0,612.86,-18.94
00CGHD,Richmond,E01007966,Sheffield 049B,736.45,33.06,0.77,54.09,6.56,0,135.62,490.27,4.64,11.43,0,790.3,-6.81
00CGHD,Richmond,E01007967,Sheffield 045B,682.06,41.86,10.33,100.21,8.79,0,171.88,337.79,0,11.2,0,503.73,35.4
00CGHD,Richmond,E01007999,Sheffield 045C,326.56,27.81,0,46.52,2.62,0,98.67,148.4,0.62,1.92,0,307.56,6.18
00CGHD,Richmond,E01008000,Sheffield 052A,297.85,32.29,16.41,52.91,0.73,0,112.77,58.45,0,24.3,0,307.39,-3.1
00CGHD,Richmond,E01008001,Sheffield 052B,459.48,32.24,5.56,46.33,5.14,0,112.31,241.24,0.76,15.9,0,399.4,15.04
00CGHD,Richmond,E01008004,Sheffield 052C,323.94,37.29,5.49,48.47,4.65,0,131.87,81,0.09,15.07,0,313.4,3.36
00CGHD,Richmond,E01008008,Sheffield 045D,327.03,34.49,1.8,51.38,2.98,0,149.27,81.91,0.22,4.98,0,329.03,-0.61
00CGHD,Richmond,E01008009,Sheffield 045E,246.88,27.03,4.11,49.48,3.25,0,116.9,38.57,1.23,6.31,0,246.98,-0.04
00CGHD,Richmond,E01008010,Sheffield 052E,234.27,27.2,1,47.74,1.19,0,125.62,26.43,0,5.1,0,240.51,-2.59
00CGHE,Shiregreen and Brightside,E01007847,Sheffield 014A,157.57,31.05,0.6,31.06,4.3,0,67.13,19.68,0,3.76,0,158.1,-0.34
00CGHE,Shiregreen and Brightside,E01007850,Sheffield 014B,1028.36,34.66,10.95,43.62,11.68,0,120.38,779.94,0.02,27.11,0,984.59,4.44
00CGHE,Shiregreen and Brightside,E01007852,Sheffield 014C,947.06,33.04,159.77,117.17,5.83,26.98,80.58,332.36,8.53,182.8,0,1048.66,-9.69
00CGHE,Shiregreen and Brightside,E01007853,Sheffield 014D,422.22,29.98,2.3,47.68,0.43,0,93.27,242.5,0,6.08,0,394.51,7.03
00CGHE,Shiregreen and Brightside,E01007854,Sheffield 014E,564.9,32.83,52.37,88.73,5.46,23.92,77.68,206.3,9.64,67.96,0,540.8,4.46
00CGHE,Shiregreen and Brightside,E01007855,Sheffield 014F,452.63,33.16,8.94,52.2,1.02,0,90.48,244.02,1.35,21.46,0,457.21,-1
00CGHE,Shiregreen and Brightside,E01007856,Sheffield 007A,708.99,26.54,10.4,86.41,3.77,13.13,122.64,386.38,5.44,54.29,0,721.37,-1.72
00CGHE,Shiregreen and Brightside,E01007857,Sheffield 010B,352.76,31.37,8.82,54.59,0.48,0,146.2,103.65,0,7.64,0,325.21,8.47
00CGHE,Shiregreen and Brightside,E01008054,Sheffield 007B,197.25,25.55,1.14,44.32,0,0,124.55,0.71,0,0.97,0,194.99,1.16
00CGHE,Shiregreen and Brightside,E01008055,Sheffield 007C,382.29,28.56,5.18,50.44,0.56,-,147.13,131.83,4.83,13.77,0,395.56,-3.36
00CGHE,Shiregreen and Brightside,E01008057,Sheffield 007D,298.83,27.97,4.37,45.06,0.23,0,151.24,60.81,0.8,8.36,0,318.87,-6.28
00CGHE,Shiregreen and Brightside,E01008059,Sheffield 010C,230.91,29.26,2.42,41.39,0.29,0,149.66,4.4,0,3.49,0,231.67,-0.33
00CGHE,Shiregreen and Brightside,E01008060,Sheffield 010D,279.6,28.41,4.68,35.15,0.52,0,148.37,52.07,0.28,10.11,0,293.32,-4.68
00CGHF,Southey,E01008085,Sheffield 009A,287.13,29.11,3.83,50.13,2.65,0,123.72,69.19,0,8.5,0,290.37,-1.11
00CGHF,Southey,E01008086,Sheffield 009B,330.81,29.79,1.07,55.41,5.28,0,124.26,111.68,0,3.31,0,340.81,-2.93
00CGHF,Southey,E01008087,Sheffield 012A,416.15,37.58,6.27,48.52,0.17,0,121.07,191.33,0.02,11.18,0,404.48,2.88
00CGHF,Southey,E01008088,Sheffield 012B,267.61,31.92,8.01,61.39,0.28,0,117.83,30.99,0,17.2,0,266.73,0.33
00CGHF,Southey,E01008090,Sheffield 012C,291.89,31.65,6.83,60.59,0.18,0,134.38,42.62,0,15.64,0,297.17,-1.77
00CGHF,Southey,E01008116,Sheffield 009C,360.3,30.16,8.15,55.65,2.57,0,136.56,112.36,0,14.85,0,360.14,0.04
00CGHF,Southey,E01008117,Sheffield 009D,343.97,29.26,15.29,61.05,3.57,0,110.18,103.61,0,21.02,0,320.77,7.23
00CGHF,Southey,E01008118,Sheffield 009E,344.37,29.86,10.81,51.04,3.02,0,131.45,93.26,0,24.94,0,360.21,-4.4
00CGHF,Southey,E01008119,Sheffield 009F,380.91,24.73,2.32,43.26,4.63,0,121.76,174.55,0.01,9.65,0,355.68,7.09
00CGHF,Southey,E01008124,Sheffield 012F,262.43,24.62,1.94,51.85,0.57,0,105.7,71.89,0,5.85,0,256.99,2.12
00CGHF,Southey,E01008125,Sheffield 009G,285.13,36.19,0.26,70.54,2.12,0,158.58,13.87,0,3.57,0,291.23,-2.09
00CGHG,Stannington,E01007997,Sheffield 025A,390.8,40.77,10.31,54.9,1.61,0,129.1,134.95,0,19.16,0,381.19,2.52
00CGHG,Stannington,E01007998,Sheffield 025B,195.08,30.4,4.19,37.52,6.1,0,85.7,24.69,0,6.47,0,207.24,-5.87
00CGHG,Stannington,E01008126,Sheffield 008A,899.02,48.46,6.32,65.18,0.57,0,206.51,547.22,0,24.76,0,885.99,1.47
00CGHG,Stannington,E01008127,Sheffield 008B,3355.26,82.39,95.86,105.97,4.27,12.24,248.95,2603.84,38.78,162.96,0,3263.52,2.81
00CGHG,Stannington,E01008128,Sheffield 008C,123137.93,89.26,65.54,968.58,8.03,0,461.6,119424.36,1919.76,200.78,0,118697.73,3.74
00CGHG,Stannington,E01008129,Sheffield 023A,14286.22,55.57,110.27,279.38,5.98,0,227.91,12815.48,616.27,175.37,0,15116.68,-5.49
00CGHG,Stannington,E01008130,Sheffield 023B,1642.35,47.08,4.83,79.47,2.58,0,164.34,1320.07,0,23.98,0,1602.29,2.5
00CGHG,Stannington,E01008131,Sheffield 023C,384.44,42.54,0.97,44.5,1.68,0,220.01,72.18,0,2.57,0,376.67,2.06
00CGHG,Stannington,E01008132,Sheffield 023D,421.98,39.98,1.92,46.41,5.44,0,141.1,182.56,0.07,4.49,0,454.11,-7.08
00CGHG,Stannington,E01008133,Sheffield 023E,678.26,42.3,9.1,61.62,2.24,0,182.5,360.92,0.04,19.55,0,665.34,1.94
00CGHG,Stannington,E01008152,Sheffield 025C,490.98,34.2,0.6,59.61,11.92,0,113.71,253.36,6.61,10.98,0,498.53,-1.51
00CGHG,Stannington,E01008158,Sheffield 025D,2290.26,40.14,15.33,116.95,16.84,0,102.32,1921.77,48.64,28.26,0,2312.8,-0.97
00CGHG,Stannington,E01008160,Sheffield 024F,339.27,30.46,7.32,51.65,4.34,0,72.69,131.77,19.79,21.25,0,347.57,-2.39
00CGHH,Stocksbridge and Upper Don,E01008136,Sheffield 008D,1307.13,39.36,10.07,68.48,2.93,0,170.81,951.7,35.34,28.45,0,1295.94,0.86
00CGHH,Stocksbridge and Upper Don,E01008140,Sheffield 008E,525.16,38.2,10.66,57.29,2.09,0,145.01,209.42,32.05,30.44,0,560.36,-6.28
00CGHH,Stocksbridge and Upper Don,E01008142,Sheffield 002A,396.15,35.71,5.23,53.61,1.55,0,149.38,137.23,0.19,13.27,0,420.12,-5.71
00CGHH,Stocksbridge and Upper Don,E01008143,Sheffield 002B,981.67,46.31,19.61,72.23,6.6,21.19,174.43,567.95,21.15,52.21,0,992.84,-1.13
00CGHH,Stocksbridge and Upper Don,E01008144,Sheffield 001A,2528.96,50.86,145.57,144.72,3.53,21.51,164.54,1815.67,7.35,175.22,0,2560.38,-1.23
00CGHH,Stocksbridge and Upper Don,E01008145,Sheffield 001B,614.41,41.58,14.49,48.59,2.26,0,147.01,327.86,0.11,32.5,0,571.04,7.59
00CGHH,Stocksbridge and Upper Don,E01008146,Sheffield 002C,232.86,39.12,0.56,35.87,0.67,0,116.88,37.76,0,2,0,240.18,-3.05
00CGHH,Stocksbridge and Upper Don,E01008147,Sheffield 002D,11893.53,52,28.43,202.07,1.56,87.22,182.73,10693.65,559.26,86.61,0,11660.85,2
00CGHH,Stocksbridge and Upper Don,E01008148,Sheffield 001C,742.67,43.78,4.69,51.48,2.37,0,148.59,474.48,0,17.27,0,772.01,-3.8
00CGHH,Stocksbridge and Upper Don,E01008149,Sheffield 001D,1580.71,40.18,37,74.47,4.55,7.33,164.2,753.53,415.27,84.17,0,1480.72,6.75
00CGHH,Stocksbridge and Upper Don,E01008150,Sheffield 001E,363.55,37.47,37.86,40.77,1.27,2.08,107.44,58.13,0.02,78.51,0,334.79,8.59
00CGHJ,Walkley,E01008065,Sheffield 026A,235.81,25.21,17.69,55.75,10.96,0,39.88,49.1,0,37.21,0,249.68,-5.56
00CGHJ,Walkley,E01008068,Sheffield 026B,228.02,19.04,22.41,47.63,4.03,5.7,42.58,50.51,1.79,34.35,0,228.38,-0.16
00CGHJ,Walkley,E01008072,Sheffield 026C,565.09,39.78,72.22,117.79,8.57,0,53.53,122.67,25.91,124.61,0,562.33,0.49
00CGHJ,Walkley,E01008151,Sheffield 024A,171.34,33.73,5.39,27.73,0.19,0,95.48,2.88,0,5.94,0,175.93,-2.61
00CGHJ,Walkley,E01008153,Sheffield 024B,190.81,36.67,2.62,40.85,2.1,0,85.65,12.8,0,10.12,0,191.9,-0.57
00CGHJ,Walkley,E01008154,Sheffield 024C,296.84,33.56,6.26,45.35,1.95,0,104.08,88.02,0,17.63,0,293.99,0.97
00CGHJ,Walkley,E01008155,Sheffield 024D,169.89,32.65,2.04,32.7,0.07,0,68.1,28.78,0,5.53,0,168.91,0.58
00CGHJ,Walkley,E01008156,Sheffield 024E,243.12,36.67,0,46.31,2.79,0,120.33,34.77,0,2.25,0,246.12,-1.22
00CGHJ,Walkley,E01008157,Sheffield 026D,349.87,37.14,9.67,73.79,14.52,0,66.02,128.22,0,20.51,0,341.31,2.51
00CGHJ,Walkley,E01008161,Sheffield 026E,379.22,43.61,56.95,103.7,1.21,0,66.74,39.14,7.68,60.19,0,380.55,-0.35
00CGHK,West Ecclesfield,E01007888,Sheffield 003A,406.43,32.54,1,41.72,5.62,0,97.31,218.1,4.67,5.46,0,381.63,6.5
00CGHK,West Ecclesfield,E01007892,Sheffield 003B,261.15,35.65,4.74,41.02,18.42,0,89.74,56.5,0,15.09,0,263.22,-0.79
00CGHK,West Ecclesfield,E01007893,Sheffield 003C,1103.76,42.67,1,67.1,2.44,0,161.25,824.11,0,5.19,0,1091.16,1.15
00CGHK,West Ecclesfield,E01007898,Sheffield 003D,1219.7,32.94,10.49,56.8,7.09,0,115.6,943.41,19.76,33.61,0,1237.68,-1.45
00CGHK,West Ecclesfield,E01007899,Sheffield 003E,621.67,50.64,1.37,52.09,1.03,0,177.22,327.91,1.71,9.7,0,656.03,-5.24
00CGHK,West Ecclesfield,E01007900,Sheffield 003F,357.87,45.33,7.13,56.35,15.78,0,144.38,69.01,0,19.89,0,360.55,-0.74
00CGHK,West Ecclesfield,E01007901,Sheffield 003G,282.75,35.08,5.26,50.01,1.59,0,147.3,32.09,0.31,11.11,0,284.28,-0.54
00CGHK,West Ecclesfield,E01008134,Sheffield 005B,1334.31,42.99,5.36,61.81,2.46,0,171.37,1030.15,0.04,20.14,0,1261.81,5.75
00CGHK,West Ecclesfield,E01008141,Sheffield 005E,2091.13,49.08,8.93,84.93,0.96,0,170.66,1745.67,0.79,30.1,0,2064.36,1.3
00CGHL,Woodhouse,E01007912,Sheffield 037B,265.52,34.46,15.43,51.03,3.47,0,132.77,11.1,0,17.25,0,265.77,-0.09
00CGHL,Woodhouse,E01007964,Sheffield 049A,423.85,34.04,9.93,52.21,5.04,0,132,170.56,0.03,20.05,0,415.86,1.92
00CGHL,Woodhouse,E01007965,Sheffield 044A,278.39,35.77,2.45,42.75,7.63,3.23,97.46,79.01,0,10.08,0,280.67,-0.81
00CGHL,Woodhouse,E01007968,Sheffield 049C,431.92,32.5,4.5,44.58,2.61,0,110.07,226.32,0.33,11.01,0,426,1.39
00CGHL,Woodhouse,E01007969,Sheffield 044B,772.49,34.54,7.64,43.09,1.86,0,101.36,567.75,0,16.26,0,681.02,13.43
00CGHL,Woodhouse,E01007970,Sheffield 049D,656.74,34,9.84,46.6,16.14,0,53.64,471.56,1.41,23.55,0,674.84,-2.68
00CGHL,Woodhouse,E01007971,Sheffield 037C,511.27,34.73,10.76,69.68,2.34,0,141.89,232.54,0,19.33,0,503.95,1.45
00CGHL,Woodhouse,E01007972,Sheffield 044C,584.92,31.51,3.46,53.04,4.11,-,124.46,356.91,0.06,11.36,0,603.34,-3.05
00CGHL,Woodhouse,E01007973,Sheffield 037D,344.03,36.62,2.74,41.78,0.52,0,142.28,116.8,0,3.29,0,368.26,-6.58
00CGHL,Woodhouse,E01007974,Sheffield 044D,995.51,36.81,2.88,53.26,1.29,136.46,114.69,637.59,3.48,9.05,0,966.96,2.95
